clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales
5,TN29K5-R,20.61606039,0.809485444,75.81715604,10.78226009,35.83314706,5.714120321,-8.628600074,8.279718203,33.82217509,0.309593721,94.41076452
2,GM3Y7Z-R,1.839029348,62.29090909,0.0,0.0,-1.19356,6.090285406,0.009823504,0.0,-0.57412926,-0.595163223,0.0
2,RLXY0V-R,7.139189,20.23344509,0.010152,0.001242965,-2.70428,6.090285406,-0.956911,0.0,-2.60934,-0.346568238,0.0
6,WLD5Z4-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
1,KL7C5Q-R,1394.930319,0.432547694,3209.33465,-20.89047619,420.4765097,7.457782894,64.33477816,-4.646190476,391.3893959,0.029267138,918.1547613
3,TZ5VPK-R,26.8092326,1.539854031,7.591614679,0.131258594,2.032,6.013167847,-1.4,0.06221338,1.609136544,0.0,22.93340572
6,FPQRJY-R,0.615809386,1.039647577,0.145649832,0.037012478,-0.627138941,6.090285406,-0.616108364,0.0,-0.719205781,-0.16650239,0.0
2,VN0JN0-R,15.954,20.85490196,0.62,0.040819014,-0.342,6.090285406,0.0,0.0,-0.048,-0.022516295,0.0
3,X1RH81-R,26.8092326,1.539854031,7.591614679,0.131258594,2.032,6.013167847,-1.4,0.06221338,1.609136544,0.0,22.93340572
4,KYC2N7-R,1.721732068,2.0,0.364723689,0.761171032,-1.340062768,1.374214086,-0.034901378,0.536209553,-1.470947662,-1.030510174,1.887582863
6,W4JXST-R,6.742364798,2.696453791,2.704200229,0.282722092,-3.74576405,7.936210615,-0.162010016,0.236950063,-3.916700266,-0.391651197,1.91624562
3,D2TYF9-R,2990.8,0.822371315,611.4,0.544240698,207.5,6.013167847,-226.8,0.539588389,775.7,0.0,1299.6
5,D9R7T2-R,400.1269888,1.020717504,1951.161726,4.993511414,608.5658757,5.905594348,-707.7541388,4.933226513,272.1900305,0.082576059,973.9905759
3,T682V9-R,35.61,1.60484925,27.788,0.903792363,5.776,6.013167847,-3.435,0.841308078,2.971,0.016071212,55.907
4,P1ZZHT-R,16.392,39.5942029,0.0,0.0,-3.255,6.013167847,-0.283,0.0,-0.88,-0.184471522,0.0
3,LHZ3P9-R,20.54421859,1.732226415,9.82008636,0.033000352,-6.075223091,6.013167847,-1.513915427,0.0,4.251942152,-0.020424719,0.0
1,D2VYMJ-R,46.097,0.238174463,216.706,-8.14929302,2.785,26.82684426,-3.677,-7.4311071,30.413,-0.117857533,129.088
5,D8NXL4-R,2916.219247,1.460986547,2932.330956,0.865979381,1330.787662,7.157119618,-470.2649798,0.828116711,1112.101115,0.112763317,7582.911679
2,WFM6M4-R,4.604821145,27.0,0.0,0.0,-0.748922888,6.090285406,0.0,0.0,-0.756923636,-0.158973453,0.0
4,PM0GJV-R,0.95078,5.291459356,0.0,0.0,-4.484106,6.090285406,-0.069093,0.0,-4.196673,-3.945652861,0.0
2,GRT336-R,28.06674296,50.5518617,0.428956403,0.009865182,-3.447965998,6.090285406,-0.150512193,0.005891941,-3.264733072,-0.08278832,0.0
6,TBSWCF-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
6,SCV7SG-R,32.226,1.716864888,237.4,0.824305556,81.9,6.090285406,310.8,0.313194444,100.2,0.0,220.1
6,FCM2DP-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
4,P7GC5D-R,13.27146362,7.135383192,2.64500487,0.19651197,-2.423288258,6.826041677,-1.408646926,0.204939077,-3.058897533,-0.228424574,7.404095751
1,MQ2RLJ-R,1161.5,0.488826228,1603.6,-19.77311961,347.3,6.013167847,-34.3,-7.116728625,396.3,0.098816568,3324.8
5,JPV5LS-R,3165.0,0.941123996,3646.0,0.512798875,580.0,6.570382425,-305.0,0.48015817,821.0,-0.032890291,8770.0
6,FNPVQ0-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
3,FXBSLC-R,26.8092326,1.539854031,0.177,0.000193265,52.426,6.013167847,13.606,0.0,-18.519,0.0,63.523
2,TZWHZW-R,3.888,43.2,15.283,6.083996815,-0.409,6.090285406,-13.7,6.083996815,-1.549,-0.02245772,0.0
4,S3N670-R,11.761,6.388375883,0.766,0.073287409,-6.607,6.090285406,-0.278,0.059318791,-6.023,-0.633128613,0.578
4,CQ9GMT-R,12.022745,48.86480302,0.396453,0.029502963,-1.5866,6.013167847,-0.518558,0.022611549,-1.308299,-0.123664064,0.0
1,R4QFTC-R,1.368740627,2.083518931,18.32473755,-5.075785208,-2.294221034,6.568672531,-0.910824496,-4.936170213,-2.572611311,-0.107348774,0.0
4,KC5Q5J-R,0.931,4.75,0.011,0.014965986,-0.426,6.090285406,0.0,0.0,-0.347,-0.579591837,0.0
2,P1ZZHT-R,15.056,43.76744186,0.0,0.0,-1.884,6.090285406,1.584,0.0,-1.417,-0.124364645,0.0
3,CN97ZF-R,699.0,2.023740591,907.0,0.568616388,390.1,2.939632546,-992.4,0.534612229,287.5,0.114887274,1390.3
5,B18MVG-R,33689.0,5.947916667,8621.0,1.543598926,128.0,6.013167847,-957.0,1.541868388,2387.0,0.0,15761.0
3,VK5NFY-R,55.75258788,0.807140361,87.92494239,1.02607248,16.41667767,40.18455317,-35.07376142,0.964903744,8.720676657,0.027004341,188.1008547
1,FS0C66-R,401.9,0.932699002,562.0,-12.48888889,68.4,118.8695652,-20.7,-9.681093394,89.8,-0.065137838,824.2
1,BFWSM9-R,26.8092326,1.539854031,185.0601705,-15.28507553,18.97370015,1.02759601,-1.469172389,0.0,14.29245835,0.0,74.26650828
4,L1PG5M-R,8.590424327,34.31405943,0.0,0.0,-2.08603,6.013167847,-0.162313458,0.0,-1.527649266,-0.19242322,0.0
5,X31C9G-R,2476.828233,1.695402299,1870.635018,0.455716916,1296.883735,6.090285406,-581.8358449,0.46776345,924.7494374,0.145628414,6637.397681
1,HG7H7Q-R,303.0103515,0.14365484,2034.163649,-17.06936771,251.8024228,85.48914927,-227.3162162,-3.224677716,296.4858504,-0.145613004,740.356829
6,MGHKJ9-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
5,HDL2BM-R,2261.994371,1.247211529,2618.600187,1.11096343,936.440702,9.007870049,212.3748652,0.99224541,797.4058354,0.120296885,5450.984505
5,CGFLHY-R,3901.605765,3.28061758,2746.845166,0.372459355,2131.703628,5.316762458,-1551.910812,0.406600779,1615.23183,0.11669108,3999.907608
2,L0VNM1-R,23.735378,33.98477976,0.461496,0.015360047,-2.548468,98.74140697,-2.959917,0.009599419,-3.574647,-0.097431025,2.331225
5,F0BW8V-R,32.226,1.716864888,8369.0,0.327951722,3077.0,6.090285406,3662.0,0.346912014,2624.0,0.0,6740.0
3,G7RWTL-R,26.8092326,1.539854031,7.591614679,0.131258594,2.032,6.013167847,-1.4,0.06221338,1.609136544,0.0,22.93340572
1,J1DM86-R,25.608,0.652699189,15.236,-11.63053435,5.212,18.51430596,0.0,-4.803816794,1.609136544,0.101617888,150.583
6,MSDN7J-R,32.226,1.716864888,0.121,0.000473846,-52.229,6.090285406,42.038,0.000473846,-7.138,0.0,0.34
4,BMDSRS-R,0.736830448,9.41509434,8.492356307,0.127926584,-0.74311,6.090285406,-0.919796734,0.064841377,-0.492981965,0.0,0.0
2,X42T1S-R,1329.5,29.54444444,0.0,0.0,2.7,6.090285406,0.0,0.0,13.0,0.00130833,0.0
1,J3JCY5-R,1.368694117,0.325778587,5.43322616,-12.35324166,-0.23726,6.013167847,-1.851165646,-6.866381477,-0.350192729,-0.069908069,0.0
